,dataset,sample_ratio,gn_n_iter,avg_residual
24,bark,0.09,10.0,3.1511794918468277
25,boat,0.09,10.0,4.809681570971568
2,graf,0.03,5.0,1.1676087324273419
43,wall,0.09,30.0,1.6330720986194172
