sample_ratio,gn_n_iter,bark,boat,graf,wall
0.03,5.0,3.1765,6.0966,3.1479,1.7435
0.03,10.0,3.2,5.936,1.3986,1.7285
0.03,30.0,3.1799,5.8743,1.2491,1.6065
0.06,5.0,3.2,5.8373,1.4601,1.6646
0.06,10.0,3.1717,5.9093,3.4601,1.6642
0.06,30.0,3.1674,5.1445,1.534,1.7123
0.09,5.0,3.183,5.3194,1.8877,1.6781
0.09,10.0,3.1918,5.9086,1.5903,1.632
0.09,30.0,3.2006,5.1025,1.7851,1.7522
0.12,5.0,3.1718,4.9571,2.9996,1.6982
0.12,10.0,3.1691,5.5659,2.072,1.8172
0.12,30.0,3.2031,5.7014,3.1944,1.6923
